 project_id | tenant_id | academic_session_id | person_id | state | interest_type |      register_timestamp       
------------+-----------+---------------------+-----------+-------+---------------+-------------------------------
       4360 | ug4       |                   8 |      1334 |     0 |             0 | 2020-02-11 12:45:24.404231+00
       4361 | ug4       |                   8 |      1334 |     0 |             0 | 2020-02-11 12:45:46.496556+00
       4362 | ug4       |                   8 |      1334 |     0 |             0 | 2020-02-11 12:46:13.212522+00
       4363 | ug4       |                   8 |      1334 |     0 |             0 | 2020-02-11 12:46:31.916751+00
       4364 | ug4       |                   8 |      1778 |     0 |             0 | 2020-02-11 15:01:58.683984+00
       4365 | ug4       |                   8 |      1778 |     0 |             0 | 2020-02-11 15:47:08.071771+00
       4366 | ug4       |                   8 |      1390 |     0 |             0 | 2020-02-11 16:48:28.571316+00
       4367 | ug4       |                   8 |      1390 |     0 |             0 | 2020-02-11 16:49:06.691497+00
       4368 | ug4       |                   8 |      1390 |     0 |             0 | 2020-02-11 16:49:33.04772+00
       4369 | ug4       |                   8 |      1390 |     0 |             0 | 2020-02-11 16:50:20.313035+00
       4370 | ug4       |                   8 |      1778 |     0 |             0 | 2020-02-12 10:48:38.993804+00
       4371 | ug4       |                   8 |      1358 |     0 |             0 | 2020-02-12 14:08:50.629985+00
       4377 | ug4       |                   8 |      1351 |     0 |             0 | 2020-02-12 22:58:35.201011+00
       4378 | ug4       |                   8 |      1351 |     0 |             0 | 2020-02-12 23:01:32.620999+00
       4379 | ug4       |                   8 |      1351 |     0 |             0 | 2020-02-12 23:05:08.802437+00
       4380 | ug4       |                   8 |      3794 |     0 |             0 | 2020-02-13 11:03:50.927558+00
       4381 | ug4       |                   8 |      3794 |     0 |             0 | 2020-02-13 11:04:22.977853+00
       4382 | ug4       |                   8 |      3794 |     0 |             0 | 2020-02-13 11:04:52.570885+00
       4383 | ug4       |                   8 |      1319 |     0 |             0 | 2020-02-13 19:15:49.422071+00
       4384 | ug4       |                   8 |      1319 |     0 |             0 | 2020-02-13 19:16:33.481259+00
       4385 | ug4       |                   8 |      1319 |     0 |             0 | 2020-02-13 19:18:16.969286+00
       4386 | ug4       |                   8 |      1388 |     0 |             0 | 2020-02-17 11:35:25.094816+00
