 person_id | tenant_id | academic_session_id |  role_id   
      4461 | ug4       |                   8 | supervisor
      7765 | ug4       |                   8 | student
      6617 | ug4       |                   8 | student
      7867 | ug4       |                   8 | student
      8022 | ug4       |                   8 | student
      7705 | ug4       |                   8 | student
      6555 | ug4       |                   8 | student
      7750 | ug4       |                   8 | student
      8025 | ug4       |                   8 | student
      7115 | ug4       |                   8 | student
      8029 | ug4       |                   8 | student
      2094 | ug4       |                   8 | supervisor
      8032 | ug4       |                   8 | student
      8033 | ug4       |                   8 | student
      1388 | ug4       |                   8 | supervisor
      1391 | ug4       |                   8 | supervisor
      1361 | ug4       |                   8 | supervisor
      7789 | ug4       |                   8 | student
      8036 | ug4       |                   8 | student
      8039 | ug4       |                   8 | student
      1933 | ug4       |                   8 | supervisor
      7882 | ug4       |                   8 | student
      5340 | ug4       |                   8 | supervisor
      3844 | ug4       |                   8 | supervisor
      8043 | ug4       |                   8 | student
      5215 | ug4       |                   8 | student
      7139 | ug4       |                   8 | supervisor
      6866 | ug4       |                   8 | student
      6844 | ug4       |                   8 | student
      8047 | ug4       |                   8 | student
      6940 | ug4       |                   8 | student
      1395 | ug4       |                   8 | supervisor
      6724 | ug4       |                   8 | student
      5654 | ug4       |                   8 | supervisor
      1323 | ug4       |                   8 | supervisor
      6999 | ug4       |                   8 | student
      5478 | ug4       |                   8 | student
      6523 | ug4       |                   8 | supervisor
      6714 | ug4       |                   8 | student
      8060 | ug4       |                   8 | supervisor
      6416 | ug4       |                   8 | student
      3684 | ug4       |                   8 | student
      8063 | ug4       |                   8 | student
      2898 | ug4       |                   8 | supervisor
      5027 | ug4       |                   8 | student
      8066 | ug4       |                   8 | student
      8069 | ug4       |                   8 | student
      6613 | ug4       |                   8 | student
      5861 | ug4       |                   8 | student
      5413 | ug4       |                   8 | student
      6527 | ug4       |                   8 | supervisor
      6778 | ug4       |                   8 | student
      7895 | ug4       |                   8 | student
      1322 | ug4       |                   8 | supervisor
      6461 | ug4       |                   8 | student
      1357 | ug4       |                   8 | supervisor
      6599 | ug4       |                   8 | student
      1353 | ug4       |                   8 | supervisor
      8070 | ug4       |                   8 | student
      3532 | ug4       |                   8 | supervisor
      1328 | ug4       |                   8 | supervisor
      1380 | ug4       |                   8 | supervisor
      7774 | ug4       |                   8 | student
      5751 | ug4       |                   8 | student
      3073 | ug4       |                   8 | supervisor
      1331 | ug4       |                   8 | supervisor
      2060 | ug4       |                   8 | supervisor
      3595 | ug4       |                   8 | student
      3850 | ug4       |                   8 | supervisor
      1392 | ug4       |                   8 | supervisor
      6384 | ug4       |                   8 | student
      1378 | ug4       |                   8 | supervisor
      7888 | ug4       |                   8 | student
      4006 | ug4       |                   8 | supervisor
      6434 | ug4       |                   8 | student
      8082 | ug4       |                   8 | student
      5441 | ug4       |                   8 | student
      8084 | ug4       |                   8 | student
      8085 | ug4       |                   8 | student
      6413 | ug4       |                   8 | student
      1393 | ug4       |                   8 | supervisor
      7827 | ug4       |                   8 | student
      5061 | ug4       |                   8 | student
      5175 | ug4       |                   8 | supervisor
      5874 | ug4       |                   8 | student
      6655 | ug4       |                   8 | student
      3865 | ug4       |                   8 | supervisor
      5024 | ug4       |                   8 | student
      6535 | ug4       |                   8 | supervisor
      3536 | ug4       |                   8 | student
      6996 | ug4       |                   8 | student
      8089 | ug4       |                   8 | student
      7690 | ug4       |                   8 | student
      7719 | ug4       |                   8 | student
      7778 | ug4       |                   8 | student
      7747 | ug4       |                   8 | student
      7160 | ug4       |                   8 | student
      8091 | ug4       |                   8 | student
      7060 | ug4       |                   8 | student
      8094 | ug4       |                   8 | student
      5255 | ug4       |                   8 | student
      8097 | ug4       |                   8 | student
      7118 | ug4       |                   8 | student
      7741 | ug4       |                   8 | student
      7842 | ug4       |                   8 | student
      5572 | ug4       |                   8 | supervisor
      7793 | ug4       |                   8 | student
      8100 | ug4       |                   8 | student
      7808 | ug4       |                   8 | student
      8103 | ug4       |                   8 | student
      7725 | ug4       |                   8 | student
      8106 | ug4       |                   8 | student
      8109 | ug4       |                   8 | student
      7874 | ug4       |                   8 | student
      8112 | ug4       |                   8 | student
      7833 | ug4       |                   8 | student
      8115 | ug4       |                   8 | student
      7836 | ug4       |                   8 | student
      1363 | ug4       |                   8 | supervisor
      6781 | ug4       |                   8 | student
      7797 | ug4       |                   8 | student
      7768 | ug4       |                   8 | student
      7082 | ug4       |                   8 | student
      8118 | ug4       |                   8 | student
      7823 | ug4       |                   8 | student
      7757 | ug4       |                   8 | student
      8121 | ug4       |                   8 | student
      1370 | ug4       |                   8 | supervisor
      7898 | ug4       |                   8 | student
      8124 | ug4       |                   8 | student
      7781 | ug4       |                   8 | student
      8127 | ug4       |                   8 | student
      8130 | ug4       |                   8 | student
      5128 | ug4       |                   8 | supervisor
      5142 | ug4       |                   8 | supervisor
      8133 | ug4       |                   8 | student
      7863 | ug4       |                   8 | student
      6861 | ug4       |                   8 | student
      7737 | ug4       |                   8 | student
      6711 | ug4       |                   8 | student
      8137 | ug4       |                   8 | student
      8140 | ug4       |                   8 | student
      8143 | ug4       |                   8 | student
      8146 | ug4       |                   8 | student
      7883 | ug4       |                   8 | student
      8149 | ug4       |                   8 | student
      8152 | ug4       |                   8 | student
      7771 | ug4       |                   8 | student
      6872 | ug4       |                   8 | student
      6911 | ug4       |                   8 | student
      8155 | ug4       |                   8 | student
      8158 | ug4       |                   8 | student
      7785 | ug4       |                   8 | student
      7862 | ug4       |                   8 | student
      1366 | ug4       |                   8 | supervisor
      8161 | ug4       |                   8 | student
      5558 | ug4       |                   8 | student
      8164 | ug4       |                   8 | student
      7804 | ug4       |                   8 | student
      8167 | ug4       |                   8 | student
      1320 | ug4       |                   8 | supervisor
      8170 | ug4       |                   8 | student
      7761 | ug4       |                   8 | student
      7159 | ug4       |                   8 | student
      7576 | ug4       |                   8 | student
      8173 | ug4       |                   8 | student
      6913 | ug4       |                   8 | student
      5911 | ug4       |                   8 | student
      8176 | ug4       |                   8 | student
      7870 | ug4       |                   8 | student
      8179 | ug4       |                   8 | student
      7839 | ug4       |                   8 | student
      8182 | ug4       |                   8 | student
      1384 | ug4       |                   8 | supervisor
      1984 | ug4       |                   8 | supervisor
      8185 | ug4       |                   8 | student
      1375 | ug4       |                   8 | supervisor
      8188 | ug4       |                   8 | student
      6763 | ug4       |                   8 | student
      7875 | ug4       |                   8 | student
      8192 | ug4       |                   8 | student
      8195 | ug4       |                   8 | student
      7197 | ug4       |                   8 | supervisor
      6428 | ug4       |                   8 | student
      5517 | ug4       |                   8 | student
      8198 | ug4       |                   8 | student
      8201 | ug4       |                   8 | student
      6396 | ug4       |                   8 | student
      6679 | ug4       |                   8 | student
      4651 | ug4       |                   8 | student
      5470 | ug4       |                   8 | student
      5511 | ug4       |                   8 | student
      5103 | ug4       |                   8 | student
      1338 | ug4       |                   8 | supervisor
      7910 | ug4       |                   8 | student
      6859 | ug4       |                   8 | student
      5220 | ug4       |                   8 | student
      8218 | ug4       |                   8 | student
      1330 | ug4       |                   8 | supervisor
      8221 | ug4       |                   8 | student
      6856 | ug4       |                   8 | student
      1337 | ug4       |                   8 | supervisor
      7731 | ug4       |                   8 | student
      8224 | ug4       |                   8 | student
      8227 | ug4       |                   8 | student
      8230 | ug4       |                   8 | student
      1996 | ug4       |                   8 | supervisor
      3544 | ug4       |                   8 | supervisor
      1987 | ug4       |                   8 | supervisor
      1335 | ug4       |                   8 | supervisor
      3615 | ug4       |                   8 | supervisor
      6754 | ug4       |                   8 | student
      6702 | ug4       |                   8 | student
      1354 | ug4       |                   8 | supervisor
      5479 | ug4       |                   8 | student
      8235 | ug4       |                   8 | student
      7819 | ug4       |                   8 | student
      5148 | ug4       |                   8 | student
      8250 | ug4       |                   8 | student
      6439 | ug4       |                   8 | student
      8254 | ug4       |                   8 | student
      8257 | ug4       |                   8 | student
      5387 | ug4       |                   8 | student
      7017 | ug4       |                   8 | student
      1362 | ug4       |                   8 | supervisor
      5086 | ug4       |                   8 | student
      8283 | ug4       |                   8 | student
      8284 | ug4       |                   8 | student
      8287 | ug4       |                   8 | student
      6638 | ug4       |                   8 | student
      6650 | ug4       |                   8 | student
      7846 | ug4       |                   8 | student
      1367 | ug4       |                   8 | supervisor
      8288 | ug4       |                   8 | student
      8291 | ug4       |                   8 | student
      7854 | ug4       |                   8 | student
      8294 | ug4       |                   8 | student
      3610 | ug4       |                   8 | student
      8302 | ug4       |                   8 | student
      8305 | ug4       |                   8 | student
      5090 | ug4       |                   8 | student
      7880 | ug4       |                   8 | student
      8311 | ug4       |                   8 | student
      5117 | ug4       |                   8 | student
      8314 | ug4       |                   8 | student
      6898 | ug4       |                   8 | student
      5134 | ug4       |                   8 | student
      6495 | ug4       |                   8 | student
      8320 | ug4       |                   8 | student
      6393 | ug4       |                   8 | student
      6752 | ug4       |                   8 | student
      5755 | ug4       |                   8 | student
      8308 | ug4       |                   8 | supervisor
      5306 | ug4       |                   8 | student
      3408 | ug4       |                   8 | manager
      6687 | ug4       |                   8 | manager
      5233 | ug4       |                   8 | manager
      8323 | ug4       |                   8 | student
      8326 | ug4       |                   8 | student
      6888 | ug4       |                   8 | student
      7552 | ug4       |                   8 | supervisor
      8334 | ug4       |                   8 | student
      8337 | ug4       |                   8 | student
      5428 | ug4       |                   8 | student
