 project_id | tenant_id | academic_session_id | person_id | state | interest_type |      register_timestamp       
------------+-----------+---------------------+-----------+-------+---------------+-------------------------------
       2616 | ug4       |                   6 |      1358 |     0 |             0 | 2018-02-05 16:44:02.933092+00
       2617 | ug4       |                   6 |      2228 |     0 |             0 | 2018-02-05 20:40:28.912146+00
       2618 | ug4       |                   6 |      2228 |     0 |             0 | 2018-02-05 20:44:24.64921+00
       2619 | ug4       |                   6 |      2228 |     0 |             0 | 2018-02-05 21:04:45.456976+00
       2620 | ug4       |                   6 |      2228 |     0 |             0 | 2018-02-05 21:13:08.032267+00
       2624 | ug4       |                   6 |      1778 |     0 |             0 | 2018-02-06 13:25:11.277225+00
       2630 | ug4       |                   6 |      1360 |     0 |             0 | 2018-02-07 16:11:25.259377+00
       2631 | ug4       |                   6 |      1360 |     0 |             0 | 2018-02-07 17:01:50.585677+00
       2640 | ug4       |                   6 |      1360 |     0 |             0 | 2018-02-09 12:53:00.315475+00
       2641 | ug4       |                   6 |      1778 |     0 |             0 | 2018-02-09 13:00:19.167596+00
       2643 | ug4       |                   6 |      1338 |     0 |             0 | 2018-02-09 14:47:34.700561+00
       2644 | ug4       |                   6 |      1338 |     0 |             0 | 2018-02-09 14:57:16.109582+00
       2645 | ug4       |                   6 |      1338 |     0 |             0 | 2018-02-09 15:05:58.10343+00
       2647 | ug4       |                   6 |      1338 |     0 |             0 | 2018-02-09 15:14:08.659828+00
       2648 | ug4       |                   6 |      1324 |     0 |             0 | 2018-02-11 13:45:52.709082+00
       2649 | ug4       |                   6 |      1351 |     0 |             0 | 2018-02-12 13:05:04.087466+00
       2650 | ug4       |                   6 |      1324 |     0 |             0 | 2018-02-12 15:19:58.032364+00
       2651 | ug4       |                   6 |      1338 |     0 |             0 | 2018-02-12 15:25:51.659857+00
       2652 | ug4       |                   6 |      1351 |     0 |             0 | 2018-02-13 11:40:49.123497+00
       2653 | ug4       |                   6 |      1338 |     0 |             0 | 2018-02-13 15:38:37.527355+00
       2654 | ug4       |                   6 |      1338 |     0 |             0 | 2018-02-14 11:14:30.902278+00
       2655 | ug4       |                   6 |      1329 |     0 |             0 | 2018-02-15 18:15:37.546097+00
       2656 | ug4       |                   6 |      1329 |     0 |             0 | 2018-02-15 18:19:32.18227+00
       2657 | ug4       |                   6 |      1329 |     0 |             0 | 2018-02-15 18:33:13.538122+00
       2658 | ug4       |                   6 |      1383 |     0 |             0 | 2018-02-15 19:08:05.660092+00
       2659 | ug4       |                   6 |      1383 |     0 |             0 | 2018-02-15 19:10:39.163831+00
       2660 | ug4       |                   6 |      1778 |     0 |             0 | 2018-02-15 21:28:37.730024+00
       2661 | ug4       |                   6 |      3117 |     0 |             0 | 2018-02-16 08:50:25.842865+00
       2662 | ug4       |                   6 |      3117 |     0 |             0 | 2018-02-16 08:51:54.751052+00
       2663 | ug4       |                   6 |      3117 |     0 |             0 | 2018-02-16 08:52:51.905858+00
       2664 | ug4       |                   6 |      3456 |     0 |             0 | 2018-02-16 10:18:17.181624+00
       2665 | ug4       |                   6 |      3794 |     0 |             0 | 2018-02-16 12:38:47.085636+00
       2666 | ug4       |                   6 |      1368 |     0 |             0 | 2018-02-16 14:26:26.142488+00
       2667 | ug4       |                   6 |      1368 |     0 |             0 | 2018-02-16 14:48:38.433277+00
       2668 | ug4       |                   6 |      1368 |     0 |             0 | 2018-02-16 14:52:48.507569+00
       2671 | ug4       |                   6 |      1340 |     0 |             0 | 2018-02-16 15:48:54.571513+00
       2672 | ug4       |                   6 |      1340 |     0 |             0 | 2018-02-16 15:54:38.379499+00
       2673 | ug4       |                   6 |      1340 |     0 |             0 | 2018-02-16 16:05:28.485737+00
       2675 | ug4       |                   6 |      1340 |     0 |             0 | 2018-02-16 16:05:37.369339+00
       2676 | ug4       |                   6 |      3842 |     0 |             0 | 2018-02-16 16:48:33.586366+00
       2677 | ug4       |                   6 |      3842 |     0 |             0 | 2018-02-16 16:50:44.482981+00
       2679 | ug4       |                   6 |      1385 |     0 |             0 | 2018-02-17 14:25:45.603562+00
       2680 | ug4       |                   6 |      1385 |     0 |             0 | 2018-02-17 14:30:29.804549+00
       2681 | ug4       |                   6 |      1385 |     0 |             0 | 2018-02-17 14:33:35.935423+00
       2682 | ug4       |                   6 |      1385 |     0 |             0 | 2018-02-17 14:36:27.180712+00
       2683 | ug4       |                   6 |      1385 |     0 |             0 | 2018-02-17 14:48:51.885809+00
       2684 | ug4       |                   6 |      3443 |     0 |             0 | 2018-02-19 09:15:54.41976+00
       2686 | ug4       |                   6 |      3443 |     0 |             0 | 2018-02-19 09:20:17.477737+00
       2687 | ug4       |                   6 |      3443 |     0 |             0 | 2018-02-19 09:22:30.708506+00
       2684 | ug4       |                   6 |      1359 |     0 |             0 | 2018-02-19 09:28:00.807732+00
       2688 | ug4       |                   6 |      3544 |     0 |             0 | 2018-02-19 10:14:08.205758+00
       2689 | ug4       |                   6 |      3544 |     0 |             0 | 2018-02-19 10:20:04.554594+00
       2690 | ug4       |                   6 |      3544 |     0 |             0 | 2018-02-19 10:25:23.90304+00
       2691 | ug4       |                   6 |      3842 |     0 |             0 | 2018-02-19 11:08:23.018473+00
       2692 | ug4       |                   6 |      3532 |     0 |             0 | 2018-02-19 15:42:47.595703+00
       2693 | ug4       |                   6 |      3615 |     0 |             0 | 2018-02-19 16:06:30.967403+00
       2694 | ug4       |                   6 |      3615 |     0 |             0 | 2018-02-19 16:48:12.893638+00
       2695 | ug4       |                   6 |      3456 |     0 |             0 | 2018-02-19 17:42:44.12385+00
       2696 | ug4       |                   6 |      3532 |     0 |             0 | 2018-02-19 19:42:51.892706+00
       2697 | ug4       |                   6 |      3532 |     0 |             0 | 2018-02-19 20:11:34.737902+00
       2698 | ug4       |                   6 |      3553 |     0 |             0 | 2018-02-20 12:39:02.432753+00
       2699 | ug4       |                   6 |      1383 |     0 |             0 | 2018-02-20 12:44:40.285912+00
       2700 | ug4       |                   6 |      1383 |     0 |             0 | 2018-02-20 12:46:44.510423+00
       2701 | ug4       |                   6 |      1372 |     0 |             0 | 2018-02-20 14:01:39.065632+00
       2702 | ug4       |                   6 |      1372 |     0 |             0 | 2018-02-20 14:02:45.666999+00
       2703 | ug4       |                   6 |      1372 |     0 |             0 | 2018-02-20 14:20:01.863784+00
       2704 | ug4       |                   6 |      3615 |     0 |             0 | 2018-02-20 15:45:05.971501+00
       2705 | ug4       |                   6 |      1319 |     0 |             0 | 2018-02-20 19:35:24.37419+00
       2706 | ug4       |                   6 |      1319 |     0 |             0 | 2018-02-20 19:42:12.477793+00
       2707 | ug4       |                   6 |      1319 |     0 |             0 | 2018-02-20 19:47:32.635667+00
       2708 | ug4       |                   6 |      1324 |     0 |             0 | 2018-02-20 22:19:13.428132+00
       2709 | ug4       |                   6 |      3794 |     0 |             0 | 2018-02-21 11:52:41.551497+00
       2710 | ug4       |                   6 |      3794 |     0 |             0 | 2018-02-21 12:04:19.942005+00
       2711 | ug4       |                   6 |      1390 |     0 |             0 | 2018-02-21 15:16:53.363176+00
       2712 | ug4       |                   6 |      1825 |     0 |             0 | 2018-02-21 16:24:12.816902+00
       2713 | ug4       |                   6 |      1322 |     0 |             0 | 2018-02-21 17:11:15.731807+00
       2714 | ug4       |                   6 |      1322 |     0 |             0 | 2018-02-21 17:18:32.072721+00
       2715 | ug4       |                   6 |      1322 |     0 |             0 | 2018-02-21 17:26:25.918017+00
       2716 | ug4       |                   6 |      1322 |     0 |             0 | 2018-02-21 17:31:41.988166+00
       2717 | ug4       |                   6 |      1341 |     0 |             0 | 2018-02-21 20:05:09.706081+00
       2718 | ug4       |                   6 |      3073 |     0 |             0 | 2018-02-21 21:52:43.581779+00
       2719 | ug4       |                   6 |      3073 |     0 |             0 | 2018-02-21 21:54:38.003523+00
       2720 | ug4       |                   6 |      3073 |     0 |             0 | 2018-02-21 21:56:01.291929+00
       2721 | ug4       |                   6 |      3073 |     0 |             0 | 2018-02-21 22:00:16.670008+00
       2722 | ug4       |                   6 |      1355 |     0 |             0 | 2018-02-22 11:13:37.064196+00
       2723 | ug4       |                   6 |      1355 |     0 |             0 | 2018-02-22 11:16:25.904498+00
       2724 | ug4       |                   6 |      1355 |     0 |             0 | 2018-02-22 11:19:37.860886+00
       2725 | ug4       |                   6 |      1349 |     0 |             0 | 2018-02-22 11:28:39.62103+00
       2726 | ug4       |                   6 |      1349 |     0 |             0 | 2018-02-22 11:30:52.154657+00
       2727 | ug4       |                   6 |      1349 |     0 |             0 | 2018-02-22 11:31:34.654131+00
       2728 | ug4       |                   6 |      4012 |     0 |             0 | 2018-02-22 11:33:25.479038+00
       2728 | ug4       |                   6 |      1367 |     0 |             0 | 2018-02-22 13:24:20.401098+00
       2731 | ug4       |                   6 |      1374 |     0 |             0 | 2018-02-22 13:39:08.840264+00
       2732 | ug4       |                   6 |      1987 |     0 |             0 | 2018-02-22 14:56:55.047422+00
       2733 | ug4       |                   6 |      1987 |     0 |             0 | 2018-02-22 15:00:00.85332+00
       2734 | ug4       |                   6 |      1825 |     0 |             0 | 2018-02-22 15:00:44.753225+00
       2735 | ug4       |                   6 |      3553 |     0 |             0 | 2018-02-22 15:30:12.274124+00
       2736 | ug4       |                   6 |      3553 |     0 |             0 | 2018-02-22 16:09:59.370704+00
       2737 | ug4       |                   6 |      3553 |     0 |             0 | 2018-02-22 16:50:06.033592+00
       2741 | ug4       |                   6 |      1334 |     0 |             0 | 2018-02-23 09:00:54.171207+00
       2742 | ug4       |                   6 |      1334 |     0 |             0 | 2018-02-23 09:03:21.613398+00
       2743 | ug4       |                   6 |      1334 |     0 |             0 | 2018-02-23 09:04:07.241837+00
       2744 | ug4       |                   6 |      1825 |     0 |             0 | 2018-02-23 10:21:42.726362+00
       2745 | ug4       |                   6 |      1327 |     0 |             0 | 2018-02-23 10:27:30.641135+00
       2746 | ug4       |                   6 |      1327 |     0 |             0 | 2018-02-23 10:29:24.749374+00
       2747 | ug4       |                   6 |      1327 |     0 |             0 | 2018-02-23 10:30:44.488517+00
       2748 | ug4       |                   6 |      1339 |     0 |             0 | 2018-02-23 11:46:47.756832+00
       2749 | ug4       |                   6 |      1339 |     0 |             0 | 2018-02-23 11:50:10.162446+00
       2751 | ug4       |                   6 |      1990 |     0 |             0 | 2018-02-23 12:18:19.734677+00
       2750 | ug4       |                   6 |      1382 |     0 |             0 | 2018-02-23 12:37:42.636168+00
       2752 | ug4       |                   6 |      1335 |     0 |             0 | 2018-02-23 13:01:36.960805+00
       2753 | ug4       |                   6 |      1335 |     0 |             0 | 2018-02-23 13:01:55.70739+00
       2754 | ug4       |                   6 |      1335 |     0 |             0 | 2018-02-23 13:03:22.682476+00
       2755 | ug4       |                   6 |      2097 |     0 |             0 | 2018-02-23 14:11:52.030566+00
       2756 | ug4       |                   6 |      1353 |     0 |             0 | 2018-02-23 14:13:04.259267+00
       2757 | ug4       |                   6 |      1353 |     0 |             0 | 2018-02-23 14:13:56.68556+00
       2758 | ug4       |                   6 |      1353 |     0 |             0 | 2018-02-23 14:15:29.122809+00
       2759 | ug4       |                   6 |      1353 |     0 |             0 | 2018-02-23 14:17:12.701446+00
       2760 | ug4       |                   6 |      1333 |     0 |             0 | 2018-02-23 14:19:16.551046+00
       2761 | ug4       |                   6 |      1333 |     0 |             0 | 2018-02-23 14:23:25.666921+00
       2762 | ug4       |                   6 |      1333 |     0 |             0 | 2018-02-23 14:31:42.151785+00
       2755 | ug4       |                   6 |      1326 |     0 |             0 | 2018-02-23 14:36:59.155142+00
       2763 | ug4       |                   6 |      1382 |     0 |             0 | 2018-02-23 14:42:36.273021+00
       2764 | ug4       |                   6 |      1382 |     0 |             0 | 2018-02-23 14:44:05.022708+00
       2765 | ug4       |                   6 |      1344 |     0 |             0 | 2018-02-23 15:09:56.014556+00
       2766 | ug4       |                   6 |      1344 |     0 |             0 | 2018-02-23 15:20:38.814761+00
       2767 | ug4       |                   6 |      1344 |     0 |             0 | 2018-02-23 15:28:11.600798+00
       2768 | ug4       |                   6 |      1990 |     0 |             0 | 2018-02-23 15:38:30.772964+00
       2769 | ug4       |                   6 |      3882 |     0 |             0 | 2018-02-23 15:46:36.47517+00
       2770 | ug4       |                   6 |      1392 |     0 |             0 | 2018-02-23 16:03:31.31543+00
       2771 | ug4       |                   6 |      1392 |     0 |             0 | 2018-02-23 16:05:40.202934+00
       2772 | ug4       |                   6 |      1392 |     0 |             0 | 2018-02-23 16:16:54.567367+00
       2773 | ug4       |                   6 |      1392 |     0 |             0 | 2018-02-23 16:19:33.227797+00
       2774 | ug4       |                   6 |      1371 |     0 |             0 | 2018-02-23 16:30:19.621533+00
       2775 | ug4       |                   6 |      1990 |     0 |             0 | 2018-02-23 16:45:11.159646+00
       2776 | ug4       |                   6 |      1371 |     0 |             0 | 2018-02-23 16:49:50.200017+00
       2777 | ug4       |                   6 |      1371 |     0 |             0 | 2018-02-23 16:53:17.425726+00
       2778 | ug4       |                   6 |      1359 |     0 |             0 | 2018-02-23 17:44:07.488032+00
       2779 | ug4       |                   6 |      1359 |     0 |             0 | 2018-02-23 17:47:01.254545+00
       2780 | ug4       |                   6 |      1990 |     0 |             0 | 2018-02-23 17:54:44.062332+00
