student_id,rank
,inf
7867.0,0.0
7973.0,11.0
3595.0,1.0
8161.0,6.0
8161.0,11.0
8161.0,14.0
8161.0,16.0
7862.0,0.0
8063.0,3.0
8063.0,8.0
7701.0,1.0
7804.0,1.0
7719.0,0.0
7719.0,4.0
7719.0,5.0
7719.0,6.0
5387.0,13.0
7842.0,1.0
5387.0,15.0
5387.0,10.0
8025.0,7.0
8195.0,3.0
8133.0,1.0
5871.0,0.0
8320.0,1.0
5214.0,8.0
7747.0,5.0
8195.0,4.0
6909.0,2.0
8392.0,1.0
7997.0,0.0
8382.0,2.0
8146.0,0.0
8158.0,5.0
7854.0,8.0
7973.0,7.0
8103.0,5.0
7731.0,1.0
7966.0,0.0
8393.0,7.0
7910.0,3.0
7750.0,2.0
7951.0,1.0
7690.0,0.0
7910.0,1.0
7690.0,7.0
6996.0,6.0
8140.0,1.0
6878.0,0.0
7910.0,4.0
7973.0,3.0
7734.0,6.0
8158.0,1.0
7774.0,3.0
7951.0,10.0
7895.0,0.0
8036.0,3.0
8036.0,0.0
7833.0,0.0
8029.0,6.0
7768.0,0.0
7966.0,5.0
8283.0,5.0
8103.0,0.0
7951.0,9.0
5090.0,4.0
6714.0,10.0
6996.0,5.0
7910.0,0.0
8382.0,7.0
7768.0,1.0
7701.0,5.0
7701.0,6.0
6872.0,1.0
6872.0,0.0
8221.0,2.0
7966.0,7.0
7734.0,8.0
7747.0,4.0
7973.0,5.0
8235.0,0.0
7115.0,0.0
6996.0,8.0
7980.0,0.0
7951.0,11.0
7819.0,8.0
7765.0,1.0
8287.0,6.0
7159.0,6.0
7951.0,14.0
6940.0,2.0
7801.0,0.0
7955.0,9.0
7910.0,2.0
8221.0,4.0
8287.0,8.0
8140.0,4.0
7951.0,0.0
6913.0,6.0
8103.0,7.0
7980.0,3.0
8036.0,4.0
6909.0,3.0
7870.0,8.0
7716.0,5.0
7778.0,1.0
8221.0,3.0
5871.0,1.0
8017.0,1.0
7955.0,14.0
6940.0,4.0
3577.0,0.0
8188.0,6.0
7576.0,0.0
8069.0,0.0
8069.0,7.0
7797.0,4.0
7932.0,0.0
7683.0,0.0
8020.0,0.0
7819.0,1.0
7716.0,4.0
8103.0,3.0
7830.0,3.0
7160.0,2.0
6714.0,14.0
7819.0,9.0
8182.0,1.0
6781.0,1.0
7765.0,2.0
7948.0,2.0
6863.0,1.0
6781.0,6.0
6781.0,5.0
7708.0,4.0
8133.0,5.0
7951.0,5.0
6781.0,3.0
8106.0,5.0
8221.0,1.0
6940.0,3.0
7989.0,0.0
6582.0,8.0
7808.0,2.0
6582.0,10.0
7983.0,2.0
6724.0,3.0
7891.0,1.0
7122.0,1.0
8382.0,0.0
7863.0,1.0
7983.0,5.0
7149.0,0.0
7731.0,22.0
5024.0,1.0
5024.0,4.0
5024.0,5.0
7701.0,4.0
6913.0,7.0
6582.0,4.0
7149.0,4.0
8025.0,1.0
7830.0,5.0
7793.0,1.0
7149.0,7.0
8025.0,2.0
7149.0,5.0
7082.0,4.0
5096.0,12.0
7778.0,3.0
8146.0,2.0
7741.0,6.0
7863.0,5.0
7731.0,14.0
7955.0,3.0
8106.0,0.0
6724.0,4.0
5024.0,2.0
8106.0,4.0
8346.0,4.0
7765.0,5.0
7808.0,12.0
8346.0,8.0
8155.0,4.0
8039.0,0.0
8001.0,6.0
7997.0,1.0
7731.0,19.0
7701.0,2.0
7731.0,20.0
7785.0,11.0
8011.0,2.0
7731.0,21.0
7863.0,0.0
7793.0,5.0
7870.0,10.0
8133.0,15.0
7830.0,4.0
6582.0,3.0
6582.0,11.0
6582.0,12.0
8017.0,0.0
7955.0,0.0
7797.0,1.0
3577.0,2.0
8382.0,1.0
7863.0,6.0
7122.0,5.0
8396.0,5.0
5090.0,1.0
6996.0,0.0
7115.0,2.0
7115.0,1.0
7980.0,1.0
8017.0,6.0
8155.0,1.0
7997.0,9.0
7997.0,7.0
6996.0,7.0
8158.0,4.0
8158.0,6.0
7997.0,3.0
7997.0,2.0
7830.0,1.0
6582.0,0.0
8182.0,0.0
5215.0,8.0
8011.0,3.0
8400.0,0.0
8221.0,0.0
7980.0,6.0
8043.0,3.0
8011.0,0.0
8011.0,1.0
8036.0,7.0
7833.0,2.0
8036.0,6.0
7774.0,0.0
7159.0,3.0
6878.0,1.0
6878.0,3.0
8302.0,3.0
6878.0,2.0
6878.0,4.0
8250.0,0.0
7907.0,1.0
7907.0,7.0
7690.0,6.0
8340.0,4.0
7701.0,3.0
8161.0,15.0
8182.0,5.0
8182.0,6.0
8182.0,4.0
7719.0,1.0
5861.0,2.0
8188.0,0.0
7719.0,7.0
8382.0,9.0
7719.0,3.0
5387.0,0.0
8133.0,12.0
7980.0,5.0
8257.0,5.0
7731.0,13.0
7731.0,10.0
7935.0,7.0
6781.0,0.0
8257.0,3.0
7761.0,1.0
8161.0,2.0
7724.0,8.0
8161.0,4.0
7724.0,3.0
7761.0,6.0
7980.0,18.0
8017.0,4.0
7980.0,11.0
7744.0,0.0
7765.0,6.0
8066.0,4.0
8182.0,3.0
8283.0,3.0
8283.0,12.0
8066.0,0.0
5214.0,1.0
8066.0,1.0
8066.0,2.0
6909.0,1.0
8140.0,0.0
7725.0,2.0
7725.0,5.0
5861.0,3.0
8382.0,10.0
8130.0,3.0
7725.0,10.0
7830.0,2.0
6781.0,4.0
7754.0,0.0
7728.0,8.0
7150.0,3.0
8001.0,1.0
8305.0,14.0
8305.0,15.0
7115.0,3.0
5096.0,8.0
8140.0,3.0
5096.0,1.0
8001.0,4.0
8218.0,1.0
7973.0,22.0
7973.0,6.0
7895.0,8.0
6702.0,4.0
7050.0,0.0
3577.0,4.0
7888.0,4.0
6911.0,3.0
7160.0,4.0
6702.0,0.0
8005.0,4.0
7705.0,0.0
7698.0,0.0
5024.0,0.0
7891.0,0.0
7830.0,0.0
6892.0,4.0
8161.0,12.0
8063.0,4.0
7126.0,1.0
7728.0,3.0
7728.0,1.0
7712.0,0.0
7785.0,2.0
6911.0,1.0
8008.0,12.0
6892.0,2.0
8084.0,4.0
7082.0,3.0
6911.0,7.0
7781.0,8.0
7781.0,4.0
7690.0,4.0
7705.0,3.0
7705.0,4.0
7731.0,11.0
7731.0,12.0
7705.0,2.0
7705.0,1.0
5871.0,2.0
7731.0,15.0
7731.0,16.0
7731.0,8.0
7731.0,9.0
5861.0,0.0
7731.0,6.0
7781.0,13.0
7731.0,3.0
7833.0,4.0
3595.0,0.0
8137.0,0.0
7731.0,2.0
8008.0,9.0
8036.0,5.0
7932.0,2.0
7932.0,3.0
7932.0,4.0
7895.0,4.0
8201.0,2.0
7785.0,8.0
7757.0,5.0
6872.0,7.0
7936.0,0.0
7973.0,17.0
6413.0,7.0
3577.0,3.0
6413.0,2.0
