person_id,tenant_id,academic_session_id,role_id
3721,ug4,6,student
4850,ug4,6,student
1366,ug4,6,supervisor
3264,ug4,6,student
3316,ug4,6,student
2774,ug4,6,student
3647,ug4,6,supervisor
3542,ug4,6,student
4856,ug4,6,student
4859,ug4,6,student
4862,ug4,6,student
4863,ug4,6,student
3720,ug4,6,student
4866,ug4,6,student
4867,ug4,6,student
3734,ug4,6,student
3607,ug4,6,student
4870,ug4,6,student
4873,ug4,6,student
4876,ug4,6,student
4879,ug4,6,student
4009,ug4,6,student
4882,ug4,6,student
4885,ug4,6,student
1375,ug4,6,supervisor
4888,ug4,6,student
4891,ug4,6,student
4894,ug4,6,student
2970,ug4,6,student
4896,ug4,6,student
4899,ug4,6,student
4902,ug4,6,student
4905,ug4,6,student
4908,ug4,6,student
4911,ug4,6,student
4914,ug4,6,student
4917,ug4,6,student
3696,ug4,6,student
4144,ug4,6,student
4920,ug4,6,student
2614,ug4,6,student
4923,ug4,6,student
3141,ug4,6,student
4926,ug4,6,student
4929,ug4,6,student
4932,ug4,6,student
4935,ug4,6,student
4938,ug4,6,student
3425,ug4,6,student
4941,ug4,6,student
1754,ug4,6,supervisor
4943,ug4,6,student
3599,ug4,6,student
4946,ug4,6,student
4949,ug4,6,student
2484,ug4,6,student
4952,ug4,6,student
4955,ug4,6,supervisor
2981,ug4,6,student
2782,ug4,6,student
2606,ug4,6,student
4958,ug4,6,student
4964,ug4,6,student
4968,ug4,6,student
1380,ug4,6,supervisor
3512,ug4,6,student
3715,ug4,6,student
4971,ug4,6,student
4974,ug4,6,student
4977,ug4,6,student
4980,ug4,6,student
1389,ug4,6,supervisor
4985,ug4,6,student
4986,ug4,6,student
4989,ug4,6,student
3360,ug4,6,supervisor
1769,ug4,6,supervisor
3605,ug4,6,student
4996,ug4,6,student
2739,ug4,6,student
4999,ug4,6,student
5002,ug4,6,student
2650,ug4,6,student
2533,ug4,6,student
2545,ug4,6,student
2960,ug4,6,student
2908,ug4,6,student
3567,ug4,6,student
3132,ug4,6,student
2812,ug4,6,student
2902,ug4,6,student
5009,ug4,6,student
3092,ug4,6,student
5015,ug4,6,student
2805,ug4,6,student
5018,ug4,6,student
3724,ug4,6,student
5021,ug4,6,student
5012,ug4,6,student
5030,ug4,6,external
5031,ug4,6,external
5032,ug4,6,student
3221,ug4,6,student
2569,ug4,6,student
2758,ug4,6,student
2899,ug4,6,student
3089,ug4,6,student
5034,ug4,6,student
2597,ug4,6,student
2808,ug4,6,student
3000,ug4,6,student
2529,ug4,6,student
2790,ug4,6,student
3550,ug4,6,student
3364,ug4,6,student
2719,ug4,6,student
5036,ug4,6,student
2703,ug4,6,student
1984,ug4,6,supervisor
4112,ug4,6,student
2471,ug4,6,student
4114,ug4,6,student
2610,ug4,6,student
2957,ug4,6,student
5040,ug4,6,student
2922,ug4,6,student
2915,ug4,6,student
3255,ug4,6,student
3395,ug4,6,student
2727,ug4,6,student
3547,ug4,6,student
5044,ug4,6,supervisor
3572,ug4,6,supervisor
2798,ug4,6,student
3334,ug4,6,student
2707,ug4,6,student
4369,ug4,6,supervisor
5048,ug4,6,student
3480,ug4,6,student
5051,ug4,6,student
3556,ug4,6,student
2671,ug4,6,student
2525,ug4,6,student
2940,ug4,6,student
5055,ug4,6,student
2699,ug4,6,student
5064,ug4,6,student
5068,ug4,6,student
2662,ug4,6,student
1321,ug4,6,supervisor
2991,ug4,6,student
4115,ug4,6,student
4116,ug4,6,student
5070,ug4,6,student
5076,ug4,6,student
3012,ug4,6,student
3024,ug4,6,student
2517,ug4,6,student
3331,ug4,6,student
2847,ug4,6,student
4063,ug4,6,supervisor
3046,ug4,6,student
2927,ug4,6,student
1343,ug4,6,supervisor
5082,ug4,6,student
1836,ug4,6,supervisor
3354,ug4,6,student
2723,ug4,6,student
3571,ug4,6,student
2762,ug4,6,student
3277,ug4,6,student
2943,ug4,6,student
3325,ug4,6,student
5083,ug4,6,student
3563,ug4,6,student
2139,ug4,6,supervisor
3054,ug4,6,student
2863,ug4,6,student
2658,ug4,6,student
2630,ug4,6,student
2667,ug4,6,student
2663,ug4,6,student
3060,ug4,6,manager
3053,ug4,6,manager
2602,ug4,6,student
2679,ug4,6,student
4020,ug4,6,manager
5108,ug4,6,student
3040,ug4,6,supervisor
5039,ug4,6,student
1394,ug4,6,supervisor
5089,ug4,6,student
4823,ug4,6,student
3850,ug4,6,supervisor
4027,ug4,6,supervisor
5128,ug4,6,external
5129,ug4,6,external
2824,ug4,6,student
5131,ug4,6,student
5134,ug4,6,student
5142,ug4,6,supervisor
3610,ug4,6,student
5148,ug4,6,student
3529,ug4,6,student
5027,ug4,6,student
5166,ug4,6,student
3684,ug4,6,student
3433,ug4,6,student
3776,ug4,6,supervisor
5175,ug4,6,supervisor
2683,ug4,6,student
5179,ug4,6,supervisor
5185,ug4,6,student
3930,ug4,6,student
5188,ug4,6,student
5201,ug4,6,student
5206,ug4,6,supervisor
1944,ug4,6,supervisor
2480,ug4,6,student
5220,ug4,6,student
5229,ug4,6,manager
5233,ug4,6,manager
4412,ug4,6,manager
5236,ug4,6,supervisor
5242,ug4,6,student
2867,ug4,6,supervisor
3588,ug4,6,supervisor
5117,ug4,6,student
5073,ug4,6,student
3502,ug4,6,manager
2888,ug4,6,student
5274,ug4,6,student
5280,ug4,6,supervisor
5292,ug4,6,student
5103,ug4,6,student
5306,ug4,6,student
5319,ug4,6,supervisor
5096,ug4,6,student
5328,ug4,6,student
5340,ug4,6,supervisor
5374,ug4,6,supervisor
5389,ug4,6,student
5393,ug4,6,student
5099,ug4,6,student
5397,ug4,6,student
5401,ug4,6,student
5405,ug4,6,student
5409,ug4,6,student
5413,ug4,6,student
3709,ug4,6,student
5417,ug4,6,student
5421,ug4,6,student
5425,ug4,6,student
5428,ug4,6,student
5432,ug4,6,student
3388,ug4,6,student
5436,ug4,6,student
5437,ug4,6,student
5441,ug4,6,student
5111,ug4,6,student
5444,ug4,6,student
5451,ug4,6,student
5453,ug4,6,student
5457,ug4,6,student
5462,ug4,6,student
5466,ug4,6,student
5470,ug4,6,student
5473,ug4,6,student
5476,ug4,6,student
5478,ug4,6,student
5479,ug4,6,student
5483,ug4,6,student
5487,ug4,6,student
5087,ug4,6,student
5489,ug4,6,student
5492,ug4,6,student
5496,ug4,6,student
5497,ug4,6,student
5498,ug4,6,student
5499,ug4,6,student
5505,ug4,6,student
5508,ug4,6,student
4961,ug4,6,student
5511,ug4,6,student
5517,ug4,6,student
5518,ug4,6,student
5523,ug4,6,student
5544,ug4,6,student
5548,ug4,6,student
5079,ug4,6,student
5557,ug4,6,student
5558,ug4,6,student
5098,ug4,6,student
5568,ug4,6,supervisor
5572,ug4,6,supervisor
5576,ug4,6,student
5584,ug4,6,supervisor
5586,ug4,6,student
5589,ug4,6,student
5602,ug4,6,student
5611,ug4,6,supervisor
2608,ug4,6,student
3218,ug4,6,student
2778,ug4,6,student
3071,ug4,6,student
3509,ug4,6,student
2953,ug4,6,student
5619,ug4,6,student
5622,ug4,6,supervisor
5625,ug4,6,supervisor
2895,ug4,6,supervisor
5635,ug4,6,supervisor
2016,ug4,6,supervisor
5654,ug4,6,supervisor
5659,ug4,6,supervisor
4006,ug4,6,supervisor
5672,ug4,6,supervisor
2044,ug4,6,supervisor
5673,ug4,6,supervisor
5677,ug4,6,student
5682,ug4,6,student
5691,ug4,6,supervisor
5695,ug4,6,student
5698,ug4,6,student
3941,ug4,6,supervisor
5751,ug4,6,student
5755,ug4,6,student
5761,ug4,6,supervisor
5772,ug4,6,supervisor
3965,ug4,6,manager
2035,ug4,6,supervisor
2002,ug4,6,supervisor
5874,ug4,6,student
5877,ug4,6,student
5882,ug4,6,supervisor
5891,ug4,6,student
5896,ug4,6,student
5904,ug4,6,supervisor
5905,ug4,6,student
5908,ug4,6,student
5911,ug4,6,student
6001,ug4,6,supervisor
6265,ug4,6,student
6322,ug4,6,student
6330,ug4,6,supervisor
6337,ug4,6,student
